provinsi,tahun,imr_per_1k
Aceh,2000,40.0
Aceh,2010,28.0
Aceh,2012,47.0
Aceh,2020,19.41
Bali,2000,36.0
Bali,2010,20.0
Bali,2012,29.0
Bali,2020,13.49
Banten,2012,32.0
Bengkulu,2000,53.0
Bengkulu,2010,28.0
Bengkulu,2012,29.0
Bengkulu,2020,19.73
DI Yogyakarta,2000,25.0
DI Yogyakarta,2010,16.0
DI Yogyakarta,2020,12.77
DKI Jakarta,2000,25.0
DKI Jakarta,2010,14.0
DKI Jakarta,2020,10.38
Di Yogyakarta,2012,25.0
Dki Jakarta,2012,22.0
Gorontalo,2012,67.0
Indonesia,2012,32.0
Jambi,2000,53.0
Jambi,2010,29.0
Jambi,2012,34.0
Jambi,2020,16.99
Jawa Barat,2000,57.0
Jawa Barat,2010,26.0
Jawa Barat,2012,30.0
Jawa Barat,2020,11.32
Jawa Tengah,2000,44.0
Jawa Tengah,2010,21.0
Jawa Tengah,2012,32.0
Jawa Tengah,2020,12.77
Jawa Timur,2000,48.0
Jawa Timur,2010,25.0
Jawa Timur,2012,30.0
Jawa Timur,2020,11.32
Kalimantan Barat,2000,57.0
Kalimantan Barat,2010,28.0
Kalimantan Barat,2012,31.0
Kalimantan Barat,2020,17.47
Kalimantan Selatan,2000,70.0
Kalimantan Selatan,2010,34.0
Kalimantan Selatan,2012,44.0
Kalimantan Selatan,2020,17.22
Kalimantan Tengah,2000,48.0
Kalimantan Tengah,2010,23.0
Kalimantan Tengah,2012,49.0
Kalimantan Tengah,2020,17.55
Kalimantan Timur,2000,40.0
Kalimantan Timur,2010,21.0
Kalimantan Timur,2012,21.0
Kalimantan Timur,2020,15.51
Kalimantan Utara,2012,
Kep. Bangka Belitung,2012,27.0
Kep. Riau,2012,35.0
Lampung,2000,48.0
Lampung,2010,23.0
Lampung,2012,30.0
Lampung,2020,15.89
Maluku,2000,61.0
Maluku,2010,45.0
Maluku,2012,36.0
Maluku,2020,29.82
Maluku Utara,2012,62.0
Nusa Tenggara Barat,2000,89.0
Nusa Tenggara Barat,2010,48.0
Nusa Tenggara Barat,2012,57.0
Nusa Tenggara Barat,2020,24.64
Nusa Tenggara Timur,2000,57.0
Nusa Tenggara Timur,2010,39.0
Nusa Tenggara Timur,2012,45.0
Nusa Tenggara Timur,2020,25.67
Papua,2000,57.0
Papua,2010,19.0
Papua,2012,54.0
Papua,2020,38.17
Papua Barat,2012,74.0
Papua Barat Daya,2012,
Papua Pegunungan,2012,
Papua Selatan,2012,
Papua Tengah,2012,
Riau,2000,48.0
Riau,2010,23.0
Riau,2012,24.0
Riau,2020,15.09
Sulawesi Barat,2012,60.0
Sulawesi Selatan,2000,57.0
Sulawesi Selatan,2010,31.0
Sulawesi Selatan,2012,25.0
Sulawesi Selatan,2020,18.2
Sulawesi Tengah,2000,66.0
Sulawesi Tengah,2010,45.0
Sulawesi Tengah,2012,58.0
Sulawesi Tengah,2020,27.72
Sulawesi Tenggara,2000,53.0
Sulawesi Tenggara,2010,40.0
Sulawesi Tenggara,2012,45.0
Sulawesi Tenggara,2020,23.29
Sulawesi Utara,2000,28.0
Sulawesi Utara,2010,25.0
Sulawesi Utara,2012,33.0
Sulawesi Utara,2020,17.22
Sumatera Barat,2000,53.0
Sumatera Barat,2010,30.0
Sumatera Barat,2012,27.0
Sumatera Barat,2020,18.35
Sumatera Selatan,2000,53.0
Sumatera Selatan,2010,25.0
Sumatera Selatan,2012,29.0
Sumatera Selatan,2020,18.27
Sumatera Utara,2000,44.0
Sumatera Utara,2010,26.0
Sumatera Utara,2012,40.0
Sumatera Utara,2020,18.28
